play	Играть
bank_button	Купить $1★ за $2 $3
balance	У вас $1★
shop_title	Любой предмет за $1★
upgrades_complete	Собраны все улучшения
upgrades_title	Любое улучшение за $1★
top_title	Лучшие на этой неделе
attack	Атака
defence	Защита
speed	Скорость
house	Домик
tower	Башня
church	Церковь
build	Построить
cancel	Отмена
upgrade	Улучшить
remove	Удалить
win	Победа! Награда $1★
lost	Поражение! Награда $1★
default_name	Гость
loading	Загрузка
search_opponents	Ищем\nпротивников
no_connection	Нет интернет соединения
fast_and_trust	Быстро\nи\nнадежно
dead	Выбыл
